2023-05-13 07:27:42,748, INFO: TRAIN OurMulti in episode 94 has success rate: 0.00, collision rate: 1.00, nav time: 15.5, total reward: 15.943,V_MeanSquareError:1.2352,times:31
2023-05-13 07:27:55,066, INFO: TRAIN OurMulti in episode 95 has success rate: 0.00, collision rate: 1.00, nav time: 11.0, total reward: 18.752,V_MeanSquareError:1.0718,times:22
2023-05-13 07:28:13,365, INFO: TRAIN OurMulti in episode 96 has success rate: 0.00, collision rate: 0.00, nav time: 50.0, total reward: 20.71,V_MeanSquareError:1.012,times:100
2023-05-13 07:28:33,630, INFO: TRAIN OurMulti in episode 97 has success rate: 0.00, collision rate: 1.00, nav time: 8.5, total reward: 23.482,V_MeanSquareError:1.12,times:17
2023-05-13 07:28:51,984, INFO: TRAIN OurMulti in episode 98 has success rate: 0.00, collision rate: 1.00, nav time: 8.0, total reward: 23.888,V_MeanSquareError:1.2773,times:16
2023-05-13 07:29:12,388, INFO: TRAIN OurMulti in episode 99 has success rate: 0.00, collision rate: 1.00, nav time: 9.5, total reward: 17.047,V_MeanSquareError:1.0201,times:19
2023-05-13 07:29:30,618, INFO: TRAIN OurMulti in episode 100 has success rate: 0.00, collision rate: 0.00, nav time: 50.0, total reward: 23.738,V_MeanSquareError:1.2386,times:100
2023-05-13 07:29:47,156, INFO: TRAIN OurMulti in episode 101 has success rate: 0.00, collision rate: 1.00, nav time: 13.0, total reward: 20.214,V_MeanSquareError:1.2676,times:26
2023-05-13 07:30:06,644, INFO: TRAIN OurMulti in episode 102 has success rate: 0.00, collision rate: 1.00, nav time: 13.0, total reward: 12.764,V_MeanSquareError:1.0878,times:26
2023-05-13 07:30:20,198, INFO: TRAIN OurMulti in episode 103 has success rate: 0.00, collision rate: 1.00, nav time: 10.5, total reward: 22.53,V_MeanSquareError:1.2712,times:21
2023-05-13 07:30:41,551, INFO: TRAIN OurMulti in episode 104 has success rate: 0.00, collision rate: 0.00, nav time: 50.0, total reward: 23.537,V_MeanSquareError:1.1661,times:100
2023-05-13 07:30:56,871, INFO: TRAIN OurMulti in episode 105 has success rate: 0.00, collision rate: 0.00, nav time: 50.0, total reward: 19.732,V_MeanSquareError:1.1315,times:100
2023-05-13 07:31:15,424, INFO: TRAIN OurMulti in episode 106 has success rate: 0.00, collision rate: 0.00, nav time: 50.0, total reward: 17.326,V_MeanSquareError:1.1062,times:100
2023-05-13 07:31:34,310, INFO: TRAIN OurMulti in episode 107 has success rate: 0.00, collision rate: 1.00, nav time: 12.0, total reward: 23.523,V_MeanSquareError:1.0449,times:24
2023-05-13 07:31:54,215, INFO: TRAIN OurMulti in episode 108 has success rate: 0.00, collision rate: 1.00, nav time: 11.0, total reward: 12.871,V_MeanSquareError:1.1374,times:22
2023-05-13 07:32:08,076, INFO: TRAIN OurMulti in episode 109 has success rate: 0.00, collision rate: 0.00, nav time: 50.0, total reward: 13.672,V_MeanSquareError:0.9802,times:100
2023-05-13 07:32:28,076, INFO: TRAIN OurMulti in episode 110 has success rate: 0.00, collision rate: 1.00, nav time: 9.5, total reward: 19.321,V_MeanSquareError:1.0125,times:19
2023-05-13 07:32:44,366, INFO: TRAIN OurMulti in episode 111 has success rate: 0.00, collision rate: 1.00, nav time: 9.5, total reward: 23.815,V_MeanSquareError:1.0658,times:19
2023-05-13 07:33:03,349, INFO: TRAIN OurMulti in episode 112 has success rate: 0.00, collision rate: 1.00, nav time: 17.5, total reward: 12.931,V_MeanSquareError:1.1044,times:35
